year,category,movie,winner,name,gender,order
2004,Best Screenplay - Motion Picture,In America,FALSE,Jim Sheridan,M,23
2004,Best Screenplay - Motion Picture,Love Actually,FALSE,Richard Curtis,M,24
2004,Best Screenplay - Motion Picture,Mystic River,FALSE,Brian Helgeland,M,25
2005,Best Director - Motion Picture,Million Dollar Baby,TRUE,Clint Eastwood,M,1
2005,Best Original Score - Motion Picture,The Aviator,TRUE,Howard Shore,M,6
2005,Best Original Song - Motion Picture,Alfie,TRUE,Mick Jagger,M,12
2005,Best Original Song - Motion Picture,Alfie,TRUE,David A. Stewart,M,17
2005,Best Screenplay - Motion Picture,Sideways,TRUE,Alexander Payne,M,25
2005,Best Screenplay - Motion Picture,Sideways,TRUE,Jim Taylor,M,30
2005,Best Director - Motion Picture,Sideways,FALSE,Alexander Payne,M,2
2005,Best Director - Motion Picture,Finding Neverland,FALSE,Marc Forster,M,3
2005,Best Director - Motion Picture,The Aviator,FALSE,Martin Scorsese,M,4
2005,Best Director - Motion Picture,Closer,FALSE,Mike Nichols,M,5
2005,Best Original Score - Motion Picture,Finding Neverland,FALSE,Jan A.P. Kaczmarek,M,7
2005,Best Original Score - Motion Picture,Million Dollar Baby,FALSE,Clint Eastwood,M,8
2005,Best Original Score - Motion Picture,Sideways,FALSE,Rolfe Kent,M,9
2005,Best Original Score - Motion Picture,Spanglish,FALSE,Hans Zimmer,M,10
2005,Best Original Song - Motion Picture,Hotel Rwanda,FALSE,Andrea Guerra,M,11
2005,Best Original Song - Motion Picture,Hotel Rwanda,FALSE,Wyclef Jean,M,13
2005,Best Original Song - Motion Picture,Shrek 2,FALSE,Adam Duritz,M,14
2005,Best Original Song - Motion Picture,The Phantom of the Opera,FALSE,Andrew Lloyd Webber,M,15
2005,Best Original Song - Motion Picture,The Polar Express,FALSE,Glen Ballard,M,16
2005,Best Original Song - Motion Picture,Hotel Rwanda,FALSE,Jerry 'Wonder' Duplessis,M,18
2005,Best Original Song - Motion Picture,Shrek 2,FALSE,Dan Vickrey,M,19
2005,Best Original Song - Motion Picture,Shrek 2,FALSE,David Immerglück,M,20
2005,Best Original Song - Motion Picture,Shrek 2,FALSE,Matthew Malley,M,21
2005,Best Original Song - Motion Picture,Shrek 2,FALSE,David Bryson,M,22
2005,Best Original Song - Motion Picture,The Phantom of the Opera,FALSE,Charles Hart,M,23
2005,Best Original Song - Motion Picture,The Polar Express,FALSE,Alan Silvestri,M,24
2005,Best Screenplay - Motion Picture,Closer,FALSE,Patrick Marber,M,26
2005,Best Screenplay - Motion Picture,Eternal Sunshine of the Spotless Mind,FALSE,Charlie Kaufman,M,27
2005,Best Screenplay - Motion Picture,Finding Neverland,FALSE,David Magee,M,28
2005,Best Screenplay - Motion Picture,The Aviator,FALSE,John Logan,M,29
2006,Best Screenplay - Motion Picture,Brokeback Mountain,TRUE,Diana Ossana,F,1
2006,Best Original Song - Motion Picture,Alanis Morissette,FALSE,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",F,2
2006,Best Original Song - Motion Picture,Transamerica,FALSE,Dolly Parton,F,3
2006,Best Director - Motion Picture,Brokeback Mountain,TRUE,Ang Lee,M,4
2006,Best Original Score - Motion Picture,Memoirs of a Geisha,TRUE,John Williams,M,10
2006,Best Original Song - Motion Picture,Brokeback Mountain,TRUE,Gustavo Santaolalla,M,15
2006,Best Original Song - Motion Picture,Brokeback Mountain,TRUE,Bernie Taupin,M,18
2006,Best Screenplay - Motion Picture,Brokeback Mountain,TRUE,Larry McMurtry,M,19
2006,Best Director - Motion Picture,Fernando Meirelles,FALSE,The Constant Gardener,M,5
2006,Best Director - Motion Picture,Match Point,FALSE,Woody Allen,M,6
2006,Best Director - Motion Picture,"Good Night, and Good Luck.",FALSE,George Clooney,M,7
2006,Best Director - Motion Picture,Peter Jackson,FALSE,King Kong,M,8
2006,Best Director - Motion Picture,Munich,FALSE,Steven Spielberg,M,9
2006,Best Original Score - Motion Picture,Brokeback Mountain,FALSE,Gustavo Santaolalla,M,11
2006,Best Original Score - Motion Picture,King Kong,FALSE,James Newton Howard,M,12
